"No.","Time","Source","Destination","Protocol","Length","Info"
"1515","35.615571","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=49568 Ack=769026 Win=65536 Len=66 TSval=1672520814 TSecr=1672520797"
"1517","35.648391","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=49634 Ack=770050 Win=65536 Len=66 TSval=1672520847 TSecr=1672520829"
"1519","35.680462","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=49700 Ack=771074 Win=65536 Len=66 TSval=1672520879 TSecr=1672520862"
"1521","35.712785","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=49766 Ack=772098 Win=65536 Len=66 TSval=1672520911 TSecr=1672520894"
"1523","35.745353","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=49832 Ack=773122 Win=65536 Len=66 TSval=1672520944 TSecr=1672520926"
"1525","35.777185","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=49898 Ack=774146 Win=65536 Len=66 TSval=1672520975 TSecr=1672520959"
"1527","35.810333","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=49964 Ack=775170 Win=65536 Len=66 TSval=1672521009 TSecr=1672520991"
"1529","35.842562","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=50030 Ack=776194 Win=65536 Len=66 TSval=1672521041 TSecr=1672521024"
"1531","35.874111","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=50096 Ack=777218 Win=65536 Len=66 TSval=1672521072 TSecr=1672521056"
"1533","35.907523","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=50162 Ack=778242 Win=65536 Len=66 TSval=1672521106 TSecr=1672521088"
"1535","35.939286","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=50228 Ack=779266 Win=65536 Len=66 TSval=1672521137 TSecr=1672521120"
"1537","35.971533","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=50294 Ack=780290 Win=65536 Len=66 TSval=1672521170 TSecr=1672521152"
"1539","36.003426","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=50360 Ack=781314 Win=65536 Len=66 TSval=1672521202 TSecr=1672521184"
"1541","36.035404","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=50426 Ack=782338 Win=65536 Len=66 TSval=1672521234 TSecr=1672521216"
"1543","36.068821","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=50492 Ack=783362 Win=65536 Len=66 TSval=1672521267 TSecr=1672521249"
"1545","36.100993","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=50558 Ack=784386 Win=65536 Len=66 TSval=1672521299 TSecr=1672521281"
"1547","36.133518","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=50624 Ack=785410 Win=65536 Len=66 TSval=1672521332 TSecr=1672521314"
"1549","36.165746","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=50690 Ack=786434 Win=65536 Len=66 TSval=1672521364 TSecr=1672521347"
"1551","36.197747","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=50756 Ack=787458 Win=65536 Len=66 TSval=1672521396 TSecr=1672521379"
"1553","36.229660","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=50822 Ack=788482 Win=65536 Len=66 TSval=1672521428 TSecr=1672521411"
"1555","36.261349","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=50888 Ack=789506 Win=65536 Len=66 TSval=1672521460 TSecr=1672521443"
"1557","36.293359","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=50954 Ack=790530 Win=65536 Len=66 TSval=1672521492 TSecr=1672521475"
"1559","36.324745","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=51020 Ack=791554 Win=65536 Len=66 TSval=1672521523 TSecr=1672521506"
"1561","36.357313","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=51086 Ack=792578 Win=65536 Len=66 TSval=1672521555 TSecr=1672521537"
"1563","36.388853","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=51152 Ack=793602 Win=65536 Len=66 TSval=1672521587 TSecr=1672521570"
"1565","36.421631","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=51218 Ack=794626 Win=65536 Len=66 TSval=1672521620 TSecr=1672521602"
"1567","36.455527","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=51284 Ack=795650 Win=65536 Len=66 TSval=1672521654 TSecr=1672521636"
"1569","36.487893","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=51350 Ack=796674 Win=65536 Len=66 TSval=1672521686 TSecr=1672521669"
"1571","36.520056","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=51416 Ack=797698 Win=65536 Len=66 TSval=1672521718 TSecr=1672521702"
"1573","36.551991","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=51482 Ack=798722 Win=65536 Len=66 TSval=1672521750 TSecr=1672521734"
"1575","36.584186","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=51548 Ack=799746 Win=65536 Len=66 TSval=1672521782 TSecr=1672521766"
"1577","36.616664","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=51614 Ack=800770 Win=65536 Len=66 TSval=1672521815 TSecr=1672521798"
"1579","36.648171","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=51680 Ack=801794 Win=65536 Len=66 TSval=1672521846 TSecr=1672521830"
"1581","36.680114","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=51746 Ack=802818 Win=65536 Len=66 TSval=1672521878 TSecr=1672521861"
"1583","36.712027","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=51812 Ack=803842 Win=65536 Len=66 TSval=1672521910 TSecr=1672521893"
"1585","36.745374","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=51878 Ack=804866 Win=65536 Len=66 TSval=1672521944 TSecr=1672521926"
"1587","36.778432","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=51944 Ack=805890 Win=65536 Len=66 TSval=1672521977 TSecr=1672521960"
"1589","36.811002","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=52010 Ack=806914 Win=65536 Len=66 TSval=1672522009 TSecr=1672521992"
"1591","36.843918","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=52076 Ack=807938 Win=65536 Len=66 TSval=1672522042 TSecr=1672522025"
"1593","36.877139","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=52142 Ack=808962 Win=65536 Len=66 TSval=1672522075 TSecr=1672522057"
"1595","36.909109","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=52208 Ack=809986 Win=65536 Len=66 TSval=1672522107 TSecr=1672522090"
"1597","36.940982","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=52274 Ack=811010 Win=65536 Len=66 TSval=1672522139 TSecr=1672522122"
"1599","36.972500","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=52340 Ack=812034 Win=65536 Len=66 TSval=1672522171 TSecr=1672522153"
"1601","37.004424","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=52406 Ack=813058 Win=65536 Len=66 TSval=1672522203 TSecr=1672522185"
"1603","37.037702","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=52472 Ack=814082 Win=65536 Len=66 TSval=1672522236 TSecr=1672522217"
"1605","37.069292","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=52538 Ack=815106 Win=65536 Len=66 TSval=1672522267 TSecr=1672522250"
"1607","37.103068","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=52604 Ack=816130 Win=65536 Len=66 TSval=1672522301 TSecr=1672522283"
"1609","37.135732","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=52670 Ack=817154 Win=65536 Len=66 TSval=1672522334 TSecr=1672522317"
"1611","37.167263","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=52736 Ack=818178 Win=65536 Len=66 TSval=1672522365 TSecr=1672522349"
"1613","37.198605","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=52802 Ack=819202 Win=65536 Len=66 TSval=1672522397 TSecr=1672522380"
"1615","37.230622","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=52868 Ack=820226 Win=65536 Len=66 TSval=1672522429 TSecr=1672522412"
"1617","37.262269","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=52934 Ack=821250 Win=65536 Len=66 TSval=1672522460 TSecr=1672522443"
"1619","37.294716","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=53000 Ack=822274 Win=65536 Len=66 TSval=1672522493 TSecr=1672522476"
"1621","37.327102","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=53066 Ack=823298 Win=65536 Len=66 TSval=1672522525 TSecr=1672522508"
"1623","37.359781","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=53132 Ack=824322 Win=65536 Len=66 TSval=1672522558 TSecr=1672522540"
"1625","37.391046","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=53198 Ack=825346 Win=65536 Len=66 TSval=1672522589 TSecr=1672522573"
"1627","37.423197","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=53264 Ack=826370 Win=65536 Len=66 TSval=1672522621 TSecr=1672522605"
"1629","37.455453","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=53330 Ack=827394 Win=65536 Len=66 TSval=1672522654 TSecr=1672522637"
"1631","37.486962","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=53396 Ack=828418 Win=65536 Len=66 TSval=1672522685 TSecr=1672522668"
"1633","37.518726","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=53462 Ack=829442 Win=65536 Len=66 TSval=1672522717 TSecr=1672522700"
"1635","37.551696","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=53528 Ack=830466 Win=65536 Len=66 TSval=1672522750 TSecr=1672522732"
"1637","37.583618","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=53594 Ack=831490 Win=65536 Len=66 TSval=1672522782 TSecr=1672522765"
"1639","37.615974","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=53660 Ack=832514 Win=65536 Len=66 TSval=1672522814 TSecr=1672522797"
"1641","37.649734","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=53726 Ack=833538 Win=65536 Len=66 TSval=1672522848 TSecr=1672522830"
"1643","37.681043","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=53792 Ack=834562 Win=65536 Len=66 TSval=1672522879 TSecr=1672522863"
"1645","37.712325","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=53858 Ack=835586 Win=65536 Len=66 TSval=1672522911 TSecr=1672522894"
"1647","37.744246","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=53924 Ack=836610 Win=65536 Len=66 TSval=1672522942 TSecr=1672522926"
"1649","37.777203","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=53990 Ack=837634 Win=65536 Len=66 TSval=1672522975 TSecr=1672522957"
"1651","37.809613","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=54056 Ack=838658 Win=65536 Len=66 TSval=1672523008 TSecr=1672522991"
"1653","37.842808","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=54122 Ack=839682 Win=65536 Len=66 TSval=1672523041 TSecr=1672523024"
"1655","37.877208","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=54188 Ack=840706 Win=65536 Len=66 TSval=1672523075 TSecr=1672523058"
"1657","37.908608","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=54254 Ack=841730 Win=65536 Len=66 TSval=1672523107 TSecr=1672523090"
"1659","37.939394","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=54320 Ack=842754 Win=65536 Len=66 TSval=1672523138 TSecr=1672523121"
"1661","37.970851","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=54386 Ack=843778 Win=65536 Len=66 TSval=1672523169 TSecr=1672523152"
"1663","38.002663","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=54452 Ack=844802 Win=65536 Len=66 TSval=1672523201 TSecr=1672523184"
"1665","38.035077","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=54518 Ack=845826 Win=65536 Len=66 TSval=1672523233 TSecr=1672523216"
"1667","38.067745","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=54584 Ack=846850 Win=65536 Len=66 TSval=1672523266 TSecr=1672523248"
"1669","38.100245","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=54650 Ack=847874 Win=65536 Len=66 TSval=1672523298 TSecr=1672523280"
"1671","38.132111","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=54716 Ack=848898 Win=65536 Len=66 TSval=1672523330 TSecr=1672523313"
"1673","38.164097","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=54782 Ack=849922 Win=65536 Len=66 TSval=1672523362 TSecr=1672523346"
"1675","38.196220","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=54848 Ack=850946 Win=65536 Len=66 TSval=1672523394 TSecr=1672523377"
"1677","38.228040","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=54914 Ack=851970 Win=65536 Len=66 TSval=1672523426 TSecr=1672523409"
"1679","38.261058","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=54980 Ack=852994 Win=65536 Len=66 TSval=1672523459 TSecr=1672523441"
"1681","38.294740","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=55046 Ack=854018 Win=65536 Len=66 TSval=1672523493 TSecr=1672523476"
"1683","38.328267","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=55112 Ack=855042 Win=65536 Len=66 TSval=1672523526 TSecr=1672523508"
"1685","38.361280","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=55178 Ack=856066 Win=65536 Len=66 TSval=1672523559 TSecr=1672523542"
"1687","38.394273","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=55244 Ack=857090 Win=65536 Len=66 TSval=1672523592 TSecr=1672523574"
"1689","38.426599","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=55310 Ack=858114 Win=65536 Len=66 TSval=1672523625 TSecr=1672523607"
"1691","38.459321","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=55376 Ack=859138 Win=65536 Len=66 TSval=1672523657 TSecr=1672523640"
"1693","38.491058","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=55442 Ack=860162 Win=65536 Len=66 TSval=1672523689 TSecr=1672523673"
"1695","38.523279","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=55508 Ack=861186 Win=65536 Len=66 TSval=1672523721 TSecr=1672523704"
"1697","38.555862","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=55574 Ack=862210 Win=65536 Len=66 TSval=1672523754 TSecr=1672523737"
"1699","38.589060","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=55640 Ack=863234 Win=65536 Len=66 TSval=1672523787 TSecr=1672523770"
"1701","38.621405","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=55706 Ack=864258 Win=65536 Len=66 TSval=1672523820 TSecr=1672523803"
"1703","38.653904","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=55772 Ack=865282 Win=65536 Len=66 TSval=1672523852 TSecr=1672523835"
"1705","38.685324","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=55838 Ack=866306 Win=65536 Len=66 TSval=1672523884 TSecr=1672523867"
"1707","38.717607","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=55904 Ack=867330 Win=65536 Len=66 TSval=1672523916 TSecr=1672523899"
"1709","38.749694","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=55970 Ack=868354 Win=65536 Len=66 TSval=1672523948 TSecr=1672523931"
"1711","38.782045","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=56036 Ack=869378 Win=65536 Len=66 TSval=1672523980 TSecr=1672523963"
"1713","38.813717","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=56102 Ack=870402 Win=65536 Len=66 TSval=1672524012 TSecr=1672523995"
"1715","38.846920","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=56168 Ack=871426 Win=65536 Len=66 TSval=1672524045 TSecr=1672524027"
"1717","38.880213","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=56234 Ack=872450 Win=65536 Len=66 TSval=1672524078 TSecr=1672524060"
"1719","38.912369","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=56300 Ack=873474 Win=65536 Len=66 TSval=1672524111 TSecr=1672524093"
"1721","38.944342","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=56366 Ack=874498 Win=65536 Len=66 TSval=1672524143 TSecr=1672524125"
"1723","38.976693","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=56432 Ack=875522 Win=65536 Len=66 TSval=1672524175 TSecr=1672524157"
"1725","39.007649","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=56498 Ack=876546 Win=65536 Len=66 TSval=1672524206 TSecr=1672524189"
"1727","39.038958","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=56564 Ack=877570 Win=65536 Len=66 TSval=1672524237 TSecr=1672524220"
"1729","39.070758","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=56630 Ack=878594 Win=65536 Len=66 TSval=1672524269 TSecr=1672524252"
"1731","39.104961","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=56696 Ack=879618 Win=65536 Len=66 TSval=1672524303 TSecr=1672524284"
"1733","39.136419","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=56762 Ack=880642 Win=65536 Len=66 TSval=1672524335 TSecr=1672524318"
"1735","39.168333","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=56828 Ack=881666 Win=65536 Len=66 TSval=1672524366 TSecr=1672524350"
"1737","39.200152","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=56894 Ack=882690 Win=65536 Len=66 TSval=1672524398 TSecr=1672524382"
"1739","39.232015","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=56960 Ack=883714 Win=65536 Len=66 TSval=1672524430 TSecr=1672524413"
"1741","39.263864","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=57026 Ack=884738 Win=65536 Len=66 TSval=1672524462 TSecr=1672524445"
"1743","39.296824","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=57092 Ack=885762 Win=65536 Len=66 TSval=1672524495 TSecr=1672524478"
"1745","39.329621","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=57158 Ack=886786 Win=65536 Len=66 TSval=1672524528 TSecr=1672524511"
"1747","39.361497","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=57224 Ack=887810 Win=65536 Len=66 TSval=1672524560 TSecr=1672524543"
"1749","39.393277","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=57290 Ack=888834 Win=65536 Len=66 TSval=1672524591 TSecr=1672524575"
"1751","39.424715","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=57356 Ack=889858 Win=65536 Len=66 TSval=1672524623 TSecr=1672524606"
"1753","39.457226","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=57422 Ack=890882 Win=65536 Len=66 TSval=1672524655 TSecr=1672524639"
"1755","39.489116","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=57488 Ack=891906 Win=65536 Len=66 TSval=1672524687 TSecr=1672524670"
"1757","39.521358","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=57554 Ack=892930 Win=65536 Len=66 TSval=1672524720 TSecr=1672524702"
"1759","39.555217","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=57620 Ack=893954 Win=65536 Len=66 TSval=1672524753 TSecr=1672524736"
"1761","39.588273","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=57686 Ack=894978 Win=65536 Len=66 TSval=1672524786 TSecr=1672524770"
"1763","39.620136","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=57752 Ack=896002 Win=65536 Len=66 TSval=1672524818 TSecr=1672524802"
"1765","39.652541","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=57818 Ack=897026 Win=65536 Len=66 TSval=1672524851 TSecr=1672524834"
"1767","39.684241","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=57884 Ack=898050 Win=65536 Len=66 TSval=1672524882 TSecr=1672524866"
"1769","39.715511","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=57950 Ack=899074 Win=65536 Len=66 TSval=1672524914 TSecr=1672524897"
"1771","39.747006","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=58016 Ack=900098 Win=65536 Len=66 TSval=1672524945 TSecr=1672524929"
"1773","39.779056","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=58082 Ack=901122 Win=65536 Len=66 TSval=1672524977 TSecr=1672524960"
"1775","39.811720","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=58148 Ack=902146 Win=65536 Len=66 TSval=1672525010 TSecr=1672524993"
"1777","39.843932","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=58214 Ack=903170 Win=65536 Len=66 TSval=1672525042 TSecr=1672525025"
"1779","39.875716","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=58280 Ack=904194 Win=65536 Len=66 TSval=1672525074 TSecr=1672525057"
"1781","39.908322","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=58346 Ack=905218 Win=65536 Len=66 TSval=1672525107 TSecr=1672525088"
"1783","39.940248","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=58412 Ack=906242 Win=65536 Len=66 TSval=1672525138 TSecr=1672525121"
"1785","39.972167","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=58478 Ack=907266 Win=65536 Len=66 TSval=1672525170 TSecr=1672525154"
"1787","40.004815","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=58544 Ack=908290 Win=65536 Len=66 TSval=1672525203 TSecr=1672525185"
"1789","40.037750","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=58610 Ack=909314 Win=65536 Len=66 TSval=1672525236 TSecr=1672525218"
"1791","40.070793","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=58676 Ack=910338 Win=65536 Len=66 TSval=1672525269 TSecr=1672525251"
"1793","40.104152","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=58742 Ack=911362 Win=65536 Len=66 TSval=1672525302 TSecr=1672525283"
"1795","40.136627","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=58808 Ack=912386 Win=65536 Len=66 TSval=1672525335 TSecr=1672525318"
"1797","40.168689","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=58874 Ack=913410 Win=65536 Len=66 TSval=1672525367 TSecr=1672525350"
"1799","40.200896","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=58940 Ack=914434 Win=65536 Len=66 TSval=1672525399 TSecr=1672525382"
"1801","40.232833","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=59006 Ack=915458 Win=65536 Len=66 TSval=1672525431 TSecr=1672525414"
"1803","40.264147","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=59072 Ack=916482 Win=65536 Len=66 TSval=1672525462 TSecr=1672525446"
"1805","40.296006","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=59138 Ack=917506 Win=65536 Len=66 TSval=1672525494 TSecr=1672525477"
"1807","40.328248","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=59204 Ack=918530 Win=65536 Len=66 TSval=1672525526 TSecr=1672525510"
"1809","40.360915","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=59270 Ack=919554 Win=65536 Len=66 TSval=1672525559 TSecr=1672525542"
"1811","40.391989","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=59336 Ack=920578 Win=65536 Len=66 TSval=1672525590 TSecr=1672525574"
"1813","40.424681","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=59402 Ack=921602 Win=65536 Len=66 TSval=1672525623 TSecr=1672525606"
